,sl,time,light
347,347,2018-06-18 05:49:15.497092,761.0
348,348,2018-06-18 05:49:16.496449,776.0
349,349,2018-06-18 05:49:17.495838,778.0
350,350,2018-06-18 05:49:18.495241,760.0
351,351,2018-06-18 05:49:19.498714,733.0
352,352,2018-06-18 05:49:20.498111,719.0
353,353,2018-06-18 05:49:21.497545,708.0
354,354,2018-06-18 05:49:22.496874,703.0
355,355,2018-06-18 05:49:23.500355,705.0
356,356,2018-06-18 05:49:24.499737,717.0
357,357,2018-06-18 05:49:25.499125,738.0
358,358,2018-06-18 05:49:26.498504,761.0
359,359,2018-06-18 05:49:27.497895,776.0
360,360,2018-06-18 05:49:28.501401,778.0
361,361,2018-06-18 05:49:29.500810,764.0
362,362,2018-06-18 05:49:30.500144,739.0
363,363,2018-06-18 05:49:31.499525,722.0
364,364,2018-06-18 05:49:32.503035,710.0
365,365,2018-06-18 05:49:33.502384,704.0
366,366,2018-06-18 05:49:34.501819,703.0
367,367,2018-06-18 05:49:35.501199,708.0
368,368,2018-06-18 05:49:36.504678,727.0
369,369,2018-06-18 05:49:37.504086,748.0
370,370,2018-06-18 05:49:38.503457,769.0
371,371,2018-06-18 05:49:39.502845,777.0
372,372,2018-06-18 05:49:40.502229,776.0
373,373,2018-06-18 05:49:41.505708,758.0
374,374,2018-06-18 05:49:42.505103,734.0
375,375,2018-06-18 05:49:43.504488,720.0
376,376,2018-06-18 05:49:44.503873,710.0
377,377,2018-06-18 05:49:45.507380,704.0
378,378,2018-06-18 05:49:46.506740,702.0
379,379,2018-06-18 05:49:47.506164,707.0
380,380,2018-06-18 05:49:48.505556,723.0
381,381,2018-06-18 05:49:49.504910,744.0
382,382,2018-06-18 05:49:50.508418,766.0
383,383,2018-06-18 05:49:51.507812,776.0
384,384,2018-06-18 05:49:52.507204,777.0
385,385,2018-06-18 05:49:53.506593,759.0
386,386,2018-06-18 05:49:54.510074,733.0
387,387,2018-06-18 05:49:55.509465,719.0
388,388,2018-06-18 05:49:56.508861,708.0
389,389,2018-06-18 05:49:57.508251,703.0
390,390,2018-06-18 05:49:58.507637,703.0
391,391,2018-06-18 05:49:59.511116,710.0
392,392,2018-06-18 05:50:00.510509,730.0
393,393,2018-06-18 05:50:01.509859,752.0
394,394,2018-06-18 05:50:02.509235,772.0
395,395,2018-06-18 05:50:03.512655,778.0
396,396,2018-06-18 05:50:04.511958,772.0
397,397,2018-06-18 05:50:05.511219,750.0
398,398,2018-06-18 05:50:06.510569,727.0
399,399,2018-06-18 05:50:07.509867,714.0
400,400,2018-06-18 05:50:08.513259,706.0
401,401,2018-06-18 05:50:09.512567,703.0
